area,session_id,n_units,beta_change_mean,beta_lick_mean,beta_reward_mean,beta_change_median,beta_lick_median,beta_reward_median,frac_sig_change,frac_sig_lick,frac_sig_reward,frac_reward_dominant,frac_beta_reward_positive
CA1,1055240613,42,-0.1598228663446076,0.6044973544973522,0.08344029633146557,1.6479873021779667e-16,0.05555555555555686,-0.1361426505430934,0.09523809523809523,0.023809523809523808,0.047619047619047616,0.5,0.47619047619047616
CA1,1067588044,90,0.34023698027529486,1.1880658436214018,-1.3630798231181398,0.3952745849297562,0.4722222222222226,-0.862326119222675,0.044444444444444446,0.06666666666666667,0.08888888888888889,0.4888888888888889,0.36666666666666664
CA1,1115086689,140,-0.6962301587301599,-0.17956349206349287,1.2674142977850196,-0.22222222222222376,-0.3194444444444471,0.629594423320661,0.06428571428571428,0.02857142857142857,0.03571428571428571,0.5142857142857142,0.5714285714285714
DG,1055240613,37,1.519193106149629,1.4909909909909924,-1.5835759603413964,1.0000000000000027,1.277777777777771,-1.2231453275485404,0.13513513513513514,0.02702702702702703,0.08108108108108109,0.6216216216216216,0.2972972972972973
DG,1067588044,26,1.4065477944788267,0.46225071225071335,-0.35301349094452683,0.7493614303959122,-0.5092592592592621,0.5576403990197102,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.5384615384615384
DG,1115086689,49,0.33276643990930177,-0.8917233560090646,1.2328811118870766,0.30555555555555736,0.13888888888886664,0.17955217574989457,0.0,0.061224489795918366,0.04081632653061224,0.6530612244897959,0.5306122448979592
ProS,1055240613,55,0.6537549407114637,-0.015151515151517782,0.05323212742210526,0.21256038647342673,0.11111111111110873,-0.124742299763075,0.07272727272727272,0.0,0.03636363636363636,0.41818181818181815,0.45454545454545453
ProS,1115086689,12,-0.7893518518518463,-0.4699074074074046,2.242932333474147,-1.2916666666666727,-0.01388888888887957,0.28823405154203274,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5
