area,1055240613,1067588044,1115086689
LGd,-0.2494006500062829,0.0231238156039587,
VISp,-0.184556423420574,-0.1283213239279496,-0.1803876309571256
VISl,-0.1826624908412855,-0.147040435326798,-0.0669884912319765
VISal,-0.06712895838813,-0.1619872781977888,-0.1608633598252309
VISrl,-0.254749746595071,-0.2241194534309377,-0.1870938962979473
VISpm,-0.1391625293859414,-0.1588993704063309,-0.1485994803733647
VISam,-0.2413675324008231,-0.0781964786822053,-0.113209854800613
CA1,-0.0575903880894837,-0.1785078308004747,-0.0229944298331946
DG,0.1291753250669947,-0.0585548371812484,0.2860873862223038
ProS,-0.134095864905986,,-0.1729854490765669
SCig,0.1684671788994539,0.055146972588978,-0.1642574420729117
MRN,-0.0525537366671978,0.141082744590289,-0.0565715402878099
