area,epoch,flash_n,mag_ratio_mean,mag_ratio_sem,angle_deg_mean,angle_deg_sem,n_sessions
CA1,active,1,1.0,0.0,4.0247275657524445e-07,4.0247275657524445e-07,3
CA1,active,2,0.5260065559587109,0.0874161430749511,88.63011464848279,2.6548140263339173,3
CA1,active,3,0.3916878917352833,0.06148933127731676,85.04869753159905,9.26072048315064,3
CA1,active,4,0.3434117235966392,0.029811819099770306,84.44712256889831,2.722375839938986,3
CA1,active,5,0.36007497089653845,0.02888596174160703,73.55171266531522,5.3170001372462545,3
CA1,active,6,0.4017999415172444,0.0302188002897406,69.0188111647855,5.6010433482312845,3
CA1,active,7,0.5241903440143234,0.028813289774101487,62.45291424394654,5.1987511810142895,3
CA1,active,8,0.5923070391152886,0.08534750814109873,64.89193312232278,4.4156128766690665,3
CA1,passive,1,1.0,0.0,2.84591215417198e-07,2.845912154171979e-07,3
CA1,passive,2,0.9085579650532445,0.07944118791856729,79.74585358587598,6.259390370934534,3
CA1,passive,3,1.01681048416806,0.05044251622266846,79.11128999825121,11.061422923618148,3
CA1,passive,4,0.8722503534439084,0.06417306385783367,80.55059287029025,6.673003276495463,3
CA1,passive,5,0.8328794445257918,0.09707279992673572,76.84129664595868,3.5354449355690862,3
CA1,passive,6,1.0241671512337118,0.21205051255858035,83.01478286930258,6.774756972661266,3
CA1,passive,7,0.8931359620230866,0.06792918641764095,82.36763616550873,3.3032761427877086,3
CA1,passive,8,1.0125378500234332,0.15817881230144998,78.19010919984163,6.681747701228931,3
DG,active,1,1.0,0.0,0.0,0.0,3
DG,active,2,0.6226676343387131,0.21905396411742928,116.48862988235203,9.688530171440068,3
DG,active,3,0.4517212678924763,0.13829658377318424,92.80541970813415,3.870252935931276,3
DG,active,4,0.32478832362303844,0.10164264519500034,89.2965975533886,11.312298082788105,3
DG,active,5,0.3385545581887082,0.11762806276592964,72.8482830051773,6.576474813994248,3
DG,active,6,0.349542591790646,0.07025398347219615,81.81914462841921,15.828811226382854,3
DG,active,7,0.39571368364914833,0.10280905298025092,78.4268337043966,17.98305259264946,3
DG,active,8,0.44633603298013375,0.09109212995401463,67.40019341737137,7.574533939763704,3
DG,passive,1,1.0,0.0,0.0,0.0,3
DG,passive,2,0.8205686163409721,0.05558522525141291,60.84229797486907,9.710853329839004,3
DG,passive,3,0.7441776792714051,0.057101197661447334,56.01200715613731,7.404440425861249,3
DG,passive,4,1.0232126804700477,0.08504374763392275,66.1444964502175,3.894976894850874,3
DG,passive,5,0.7425933217945516,0.17810321532253665,61.91890576305599,9.303290215682937,3
DG,passive,6,0.7339963439590425,0.1529955369065474,76.66498300011337,6.359374708944956,3
DG,passive,7,0.8795597176195143,0.2367103852465747,62.59741230354843,6.452387308480523,3
DG,passive,8,0.751941598760383,0.11867666419190916,57.56828344817245,4.656419751991905,3
LGd,active,1,1.0,0.0,0.0,0.0,1
LGd,active,2,1.085865602607701,0.0,32.57588592342314,0.0,1
LGd,active,3,1.3220898763329818,0.0,36.91134364296247,0.0,1
LGd,active,4,1.4090728780662056,0.0,40.969123148318005,0.0,1
LGd,active,5,1.4939202905306606,0.0,41.44496957262961,0.0,1
LGd,active,6,1.4098317525094854,0.0,40.88939836726129,0.0,1
LGd,active,7,1.4823477583690199,0.0,40.218799892657984,0.0,1
LGd,active,8,1.3871505811683205,0.0,35.64792022962818,0.0,1
LGd,passive,1,1.0,0.0,0.0,0.0,1
LGd,passive,2,1.063700774095869,0.0,10.937800457759918,0.0,1
LGd,passive,3,1.1056236069960228,0.0,13.63746782010486,0.0,1
LGd,passive,4,1.0196011616854028,0.0,13.285064614626442,0.0,1
LGd,passive,5,1.089857930030489,0.0,14.28217745486173,0.0,1
LGd,passive,6,1.0312032545432874,0.0,15.370984541953963,0.0,1
LGd,passive,7,1.003088896754628,0.0,13.474253393140605,0.0,1
LGd,passive,8,1.026780541489787,0.0,14.149253911431105,0.0,1
MRN,active,1,1.0,0.0,6.037091348628667e-07,6.037091348628667e-07,2
MRN,active,2,0.45814235286883387,0.12134463590551645,101.37621708354071,4.8028146777680965,2
MRN,active,3,0.2879407629514149,0.02197477035842196,84.42751290866732,19.53551007654128,2
MRN,active,4,0.27233047228249607,0.0073334572161098946,60.74795006067779,0.7885915380191051,2
MRN,active,5,0.25957865744868147,0.024684083432154696,75.36288242547784,1.426298017752714,2
MRN,active,6,0.34483990801346476,0.06932361806000693,93.27758195576712,3.6007378788440505,2
MRN,active,7,0.39411311046571684,0.07075093675941671,97.11890897590249,11.042657830869288,2
MRN,active,8,0.4346935102417765,0.08394340679214421,96.37878459423376,9.360654469247116,2
MRN,passive,1,1.0,0.0,0.0,0.0,2
MRN,passive,2,1.088523036566602,0.08590491734715698,50.80330632014403,42.038697540313734,2
MRN,passive,3,1.0525140777829993,0.014324809425815042,46.408836752259596,36.08422659567154,2
MRN,passive,4,1.1128779277477938,0.12113000856550991,36.365946603705886,25.20711415199588,2
MRN,passive,5,1.1536384422265633,0.21436664509500392,39.946239752295874,28.953447986447234,2
MRN,passive,6,1.1796599096373899,0.23771610015433872,48.57003576607981,36.84599522033939,2
MRN,passive,7,1.148534888183734,0.28403360766043734,36.5895436963222,25.14174361019185,2
MRN,passive,8,1.1237065040609093,0.20221106674404335,28.47655146615436,20.185855127459966,2
ProS,active,1,1.0,0.0,4.2688682312579694e-07,4.2688682312579694e-07,2
ProS,active,2,0.7782401469086917,0.23781292982866173,83.58621653971719,8.020653828880548,2
ProS,active,3,0.8512356500778717,0.22848590880360745,93.42363444349076,7.042864240941333,2
ProS,active,4,0.5848287642870406,0.14809259409382333,83.56085744915293,12.782030641778837,2
ProS,active,5,0.6740697383273109,0.21966837245868337,88.37650692021256,15.317133949163178,2
ProS,active,6,0.758306746833732,0.347637457683071,77.92160020760305,15.786896820198576,2
ProS,active,7,0.7717072621687814,0.29557301239189454,76.51960179502126,22.638664233837133,2
ProS,active,8,0.8742658504282864,0.3244702613528695,74.22221336792393,9.130078973871548,2
ProS,passive,1,1.0,0.0,4.2688682312579694e-07,4.2688682312579694e-07,2
ProS,passive,2,1.0858564240294708,0.010777205796492327,82.0057017855657,12.152235926714397,2
ProS,passive,3,1.3211501096463447,0.04799912171151999,66.93989084700223,6.751181248736294,2
ProS,passive,4,1.2088409367426718,0.10349188227789595,94.5934594916962,11.840515222014409,2
ProS,passive,5,1.06728979160544,0.08939088957127173,89.50780212193003,9.17044909760871,2
ProS,passive,6,1.0870827327204298,0.2711310736396241,71.25673357678633,0.3781409470902801,2
ProS,passive,7,1.1852899939503518,0.1569536038881746,60.451115992521125,2.147273058489848,2
ProS,passive,8,1.1674945818823719,0.2960928689401996,92.22993472159945,8.043917829851983,2
SCig,active,1,1.0,0.0,2.84591215417198e-07,2.845912154171979e-07,3
SCig,active,2,0.6997294710554964,0.11236467709562266,88.71589050710979,18.1283168863754,3
SCig,active,3,0.4987625958323876,0.05096010902720087,86.31620986979975,13.866912960910806,3
SCig,active,4,0.40951570650258956,0.11761672346763088,89.26982959823074,14.14675978602148,3
SCig,active,5,0.45486829313251925,0.15207753553230194,81.69480871516966,13.301908260353025,3
SCig,active,6,0.45613837147344527,0.1307279550299585,82.07153251487041,13.08785953696529,3
SCig,active,7,0.4623745836204333,0.10506994959663567,79.55856646706633,8.603104571344149,3
SCig,active,8,0.450602331620584,0.11283538632360132,78.15026143726469,10.82769846327259,3
SCig,passive,1,1.0,0.0,2.84591215417198e-07,2.845912154171979e-07,3
SCig,passive,2,0.9783342619552324,0.020148382720985316,33.462067657919825,6.557498235461816,3
SCig,passive,3,0.930909472865963,0.08068034155278024,36.166188693939176,8.960856099565849,3
SCig,passive,4,0.9721932285335549,0.039479556057284426,35.12502566617897,11.755529448348238,3
SCig,passive,5,0.9266702793447745,0.060532028155511446,35.67707229473742,8.641152019074003,3
SCig,passive,6,0.965157508617121,0.10767885677400416,38.57057965731587,10.874811531644179,3
SCig,passive,7,0.9707713347899877,0.003397687849104272,39.33857533530085,9.588382186561908,3
SCig,passive,8,0.8464628968254658,0.12848322797897296,37.26418245895909,10.106674797952488,3
