session_id,area,epoch,flash_n,n_units,n_events,mag_ratio,angle_deg
1055240613,LGd,active,1,42,184,1.0,0.0
1055240613,LGd,active,2,42,184,1.085865602607701,32.57588592342314
1055240613,LGd,active,3,42,184,1.3220898763329818,36.91134364296247
1055240613,LGd,active,4,42,184,1.4090728780662056,40.969123148318005
1055240613,LGd,active,5,42,183,1.4939202905306606,41.44496957262961
1055240613,LGd,active,6,42,183,1.4098317525094854,40.88939836726129
1055240613,LGd,active,7,42,183,1.4823477583690199,40.218799892657984
1055240613,LGd,active,8,42,183,1.3871505811683205,35.64792022962818
1055240613,VISp,active,1,44,184,1.0,0.0
1055240613,VISp,active,2,44,184,1.7336144894399679,20.048872287454603
1055240613,VISp,active,3,44,184,2.2081734103659585,24.186129832899415
1055240613,VISp,active,4,44,184,2.3225362683972364,25.24759809035942
1055240613,VISp,active,5,44,183,2.3974203978635575,25.151200894230456
1055240613,VISp,active,6,44,183,2.347503404026944,24.59121163557825
1055240613,VISp,active,7,44,183,2.3070591213852083,24.10720093854925
1055240613,VISp,active,8,44,183,2.100485209898656,22.584925972269733
1055240613,VISl,active,1,40,184,1.0,1.2074182697257333e-06
1055240613,VISl,active,2,40,184,1.7251517187686234,22.41904805219986
1055240613,VISl,active,3,40,184,1.9224590536300858,25.639146312746774
1055240613,VISl,active,4,40,184,1.8327736376404271,24.970267749495367
1055240613,VISl,active,5,40,183,1.8120281744161433,23.781577399615177
1055240613,VISl,active,6,40,183,1.8005000035983447,22.974100617541552
1055240613,VISl,active,7,40,183,1.7336345090996181,20.913216896995927
1055240613,VISl,active,8,40,183,1.678564711229317,19.929586570927086
1055240613,VISal,active,1,42,184,1.0,8.537736462515939e-07
1055240613,VISal,active,2,42,184,1.3993985128200694,20.929448647302806
1055240613,VISal,active,3,42,184,1.597289159658054,24.004330865566743
1055240613,VISal,active,4,42,184,1.5459932271696037,24.932034077420987
1055240613,VISal,active,5,42,183,1.525561327411953,25.450301428963016
1055240613,VISal,active,6,42,183,1.4841275117583854,25.692378618535983
1055240613,VISal,active,7,42,183,1.4437368979055578,24.59344412417886
1055240613,VISal,active,8,42,183,1.4211309254033906,23.02977910985309
1055240613,VISrl,active,1,18,184,1.0,0.0
1055240613,VISrl,active,2,18,184,0.9838093962125238,25.93433542949275
1055240613,VISrl,active,3,18,184,1.0588383968036876,40.30592907769267
1055240613,VISrl,active,4,18,184,1.1310185932389165,31.99539963459277
