area,1055240613,1067588044,1115086689
LGd,0.0158199181924787,,
VISp,0.0102825960560446,0.0035895017492297,-0.0008561969644138
VISl,0.0130820797935705,0.0034191184252303,0.0015556597907695
VISal,0.0048989908445362,0.0041939843383367,0.0044446392841193
VISrl,0.005432137099483,0.001212451724679,0.002160971573809
VISpm,0.0088356182120151,0.0049549404036548,0.0003447591061778
VISam,0.0074082792822219,0.0026861765623948,0.0004710118487893
CA1,-0.0022827676857145,0.0009771372511828,0.0022020063559286
DG,0.0057300844619358,-0.0004931731338439,0.011868341754781
ProS,0.0062244718099995,,-0.0012551060350469
SCig,0.0232883103654629,0.005635936305537,-0.0043984917338141
MRN,-0.0143987949832606,-0.0100945399126712,
