area,1055240613,1067588044,1115086689
LGd,1.9573664927278775,2.018315836497655,
VISp,2.747396963123645,2.1400926683019885,1.7787065030529376
VISl,2.690284576453996,1.3235408354224778,1.328169167210263
VISal,1.9891118263370535,1.6437678290737616,1.2907403671575552
VISrl,2.626951195415927,1.3093073113033185,1.2961687212956248
VISpm,5.081584292484767,2.167254839054649,3.883002560819467
VISam,2.721718377088308,1.9644738619478597,3.082174100100391
CA1,0.9297954671089002,1.2028425555402265,1.9603421461897323
DG,0.8907982261640791,1.6378794356562645,1.5532959326788245
ProS,1.0891353460669573,,0.7001477104874445
SCig,,2.7726926010678863,4.916618413433695
MRN,4.307444852941181,0.2845290385553929,
