area,n_units,beta_change,beta_lick,beta_reward,frac_reward_dominant
CA1,272,-0.27045387641146823,0.3940291394335513,0.2142106987323224,0.5036764705882353
DG,112,0.9739816351744783,0.20973875661375985,-0.06570970370288043,0.5803571428571429
ProS,67,0.39528805249116933,-0.0966003316749602,0.4454172389538142,0.40298507462686567
