area,n_units,peak_active,peak_passive,delta,pct_gain
LGd,42,16.307142857142857,21.872619047619043,-5.565476190476186,-25.444946388722567
VISp,44,11.774999999999999,17.055681818181817,-5.280681818181819,-30.961423146112338
VISl,40,17.013749999999998,21.001250000000013,-3.987500000000015,-18.986965061603534
VISal,42,18.354761904761908,20.772619047619045,-2.4178571428571374,-11.639635509198209
VISrl,18,17.85833333333333,18.388888888888886,-0.530555555555555,-2.885196374622354
VISpm,39,8.475641025641027,11.105128205128205,-2.629487179487178,-23.678134380050782
VISam,32,5.8453124999999995,7.943750000000001,-2.098437500000002,-26.41620771046422
SCig,41,11.398780487804874,8.328048780487803,3.070731707317071,36.8721628349685
CA1,42,5.015476190476191,5.595238095238095,-0.579761904761904,-10.361702127659562
